Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Associate/Senior Associate -(Technical), Bonus| Sales Associate| Technical support| Issue| Senior| Technical| Inbound calls| US shift| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Sales Executive/Officer, Communication Skills| Lead Generation| Marketing Management| Online Marketing| Mass Mailing| Inside Sales| Data Mining| Sales Executive Activities,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Technical Architect, front end| css| accessibility| javascript| grunt| react.js| web technologies| html| web designing| responsive web design| web application development,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Executive/ Sr Executive - Administration, Logistics| FMCG| Tally ERP| Com| Business Executive| Administration work| Commerce| Management| Branch| Open,"HR , Recruitment , Administration , IR","Banking, Financial Services, Broking",Others
Sales/Business Development Manager, hospital sales| Area sales| Pharma| MIS| Analytical| Procurement| Monitoring| Regional sales| Institutional sales| Business Associate,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Others
Sales/Business Development Manager, budgeting| payroll| coordinating| real estate sales| general manager| planning| open| houses| sales marketing| responsibility,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Software Developer, IOS| Android,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Program Manager, PMP| Consulting| Customer service| Risk management| RFP| Business solutions| Project delivery| project support| Conflict resolution| sap hana,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Construction| Online sales| International sales| Order processing,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Finance Executive, Usage| Windows,"Accounts , Finance , Tax , Company Secretary , Audit","Consumer Electronics, Appliances, Durables",Others
Head/VP/GM-SCM/Logistics, MS Office| Monitoring| Strong analytical skills| Business Head| Inventory| Management| Business Executive| large| Compensation| Demand,"Supply Chain , Logistics , Purchase , Materials","Courier, Transportation, Freight , Warehousing",Others
Software Developer, silverlight| design and development| wcf| asp net mvc| enterprise application| c| developing| asp net| application| design| asp.net| reporting tool| in design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Analyst, Credit Research| Fixed Income| Credit Analysis| Financial Analysis| Financial Modeling,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Others
System Analyst, Order Management| OBIEE| POwer BI,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Design Engineer/Manager, CATIA| AutoCAD| Quality Executive| Management| Mould design| Business Executive| Cost| Solid works| Quality documentation,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Others
Testing Engineer, Firewall| Backend| Linux| SQL| HTTP| Testing tools| Perl| software quality| Regression| Python,IT Software - QA & Testing,"IT-Software, Software Services",IT
Software Developer, css| OOPS| core php| mysql| html| ajax| javascript| magento,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Regional Sales Manager, sales forecasting| distribution channel sales| dealer management| channel management| territory head| distribution manager| zonal manager,"Sales , Retail , Business Development","Retail, Wholesale",Others
Project Manager-IT/Software, Radio,"IT Software - Network Administration , Security","Internet, Ecommerce",IT
Associate/Senior Associate -(Technical),networking| active directory| server support| technical support| service desk| OFFICE 365| service desk analyst,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Sales/Business Development Manager, Store Sales| Sales| Cross Selling| Up Selling,"Sales , Retail , Business Development","Retail, Wholesale",Others
Design Engineer, Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms",IT
Associate/Senior Associate -(Technical), data processing| spss| quantum| quanvert| data analyst,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",IT
Sales Executive/Officer, requirements| business| personal| proposals| drive| sales| open,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Sales Executive/Officer, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
HR Manager, Human| Resources| Management| Benefits| Administration| Performance,"HR , Recruitment , Administration , IR","Retail, Wholesale",Others
Database Architect/Designer, VMware| Cloud Computing| VCenter| VSphere| PAAS| SAAS| Iaas| Vcloud| Virtualization,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Head / VP/ GM/ National Manager After Sales, Sales| Dealing| Marketing,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Others
Recruitment Executive, resourcing| Non IT Recruitment| Hiring| HR| Recruitment| Talent Acquisition| staffing,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Front Office/Guest Relations Executive/Manager, Crew Member| assistant restaurant manager| Restaurant Manager| bhm| Cash Handling| restaurant management| Cashier| ihm,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Associate/Senior Associate -(Technical), Technical support| Outbound| Service| Comp| Domestic BPO| process| Inbound calls| Bonus| Business Executive| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Design Engineer, GIS| Design engineering| Substation| Team management| AutoCAD| Analytical| Siemens| Engineering Design| substation design| Document management system,"Engineering Design , R&D","Electricals, Switchgears",IT
Head/VP/GM-HR, HR Budgeting| Employee Engagement| Recruitment| Compensation| Leadership Development| Change Management| Skill Development,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Functional Outside Consultant, LDAP| SAP ABAP| SAP GRC| SAP Support,"IT Software - ERP , CRM","IT-Software, Software Services",IT
Trainee, Offline| Business Development| sales| direct sales| sales marketing| field sales,"Sales , Retail , Business Development","Education, Teaching, Training",Others
Recruitment Executive, CRM| Agile| Information security| Risk management| RFP| Technical documentation| automation framework| Staffing| Customer relationship| Talent acquisition,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Marketing Manager, Senior Design Engineer| Telecom| CVS| Bfsi| Social media| Life insurance| Tools| Flex| HTTP| Digital marketing,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Marketing
Software Developer, HTML| SEO| Front end| Visual Effects| Web services| Unit testing| Internet applications| angularjs| process| Writing,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Sales/Business Development Manager, Banking| Banca| Bancassurance| sales| Marketing| Life Insurance| agency sales,"Sales , Retail , Business Development",Insurance,Others
Sales/Business Development Manager,Education Sales| Sales| Manager - Business Development| B2C Sales| Telesales| client relationship| Business Development,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Graphic/Web Designer,Software design| jQuery| Front end| Illustrator| Javascript| HTML| bootstrap| Photoshop| Information technology| CSS3,"IT Software - Application Programming , Maintenance","Pharma, Biotech, Clinical Research",IT
Recruitment Executive, IT Recruitment,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Software Developer, ERP| NETWORK| Operations Improvement| Design Development| Network Services| Cloud| Managed Services| Business Continuity,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Documentation/Medical Writing, mbbs| medical writing| bms| scientific writing| diploma| homeopathy| internship| pv| documents,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Strategy, Management Consulting Firms",IT
Software Developer, Wordpress| CMS| php| HTML| mysql| Shopify| Joomla,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Executive / Officer,mutual funds| sales| channel sales| insurance| business development| marketing| amfi| irda| nism| ncfm| agency| agency channel| agency manager| b2b| Distributor Handling,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Analytics Manager, Drafting| Patent Prosecution,Analytics & Business Intelligence,"KPO, Research, Analytics",Others
Software Developer, Graphics| Backend| Timing closure| DFT| Front end| SOC| Perl| Budgeting| Gaming| Physical design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Telcom, ISP",IT
Other, subject matter expertise| content writing| content editor,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Associate/Senior Associate -(NonTechnical), Outbound| Sales process| Technical support| Mass hiring| Technical Support Executive| Technical| US shift| Antivirus| Customer Service Executive| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Software Developer,javascript| blackberry| html| c#| server| documentation| telerik| sharepoint| sql| t sql| sql server 2008| web| design| oops| programming,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Coordinator, Sales Executive Activities| FMCG,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Others
Telecalling/Telemarketing Executive, bpo| Inbound Process| non voice process| customer care| call center| customer support| domestic| voice process| voice support| calling| international call center| Fresher| customer care executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Search Engine Optimisation /SEO Analyst, SEO Executive| Social media optimization| Off-page optimization| SEC| Research| Consultancy,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Marketing
HR Business Partner, HR Generalist Activities| employee engagement| off boarding| on boarding| Recruitment,"HR , Recruitment , Administration , IR","Banking, Financial Services, Broking",Others
Software Developer, Web technologies,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",IT
Business Analyst, Business Operations Analyst| Automation| Data analysis| Macros| QlikView| Forecasting| Reporting tools| Trend analysis| power bi| Analyst II,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,Javascript| Apache| Python| JMS| Data analysis| CSS3| Product engineering| MongoDB| NoSQL| cassandra,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",IT
Accounts Executive/Accountant, Compliance| audit| accounting| Taxation| commerce| tally,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Others
Software Developer, jdk| Java| Core Java| Struts| Spring| Web Services| Framework,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Graphic Designer, adobe indesign| hiring| adobe photoshop| photoshop| graphics| web designing| graphic designer| tools| and quality| english language,"Design , Creative , User Experience","Pharma, Biotech, Clinical Research",IT
Recruitment Manager,employee engagement|Generalist|hrbp|hr|Talent Management,"HR , Recruitment , Administration , IR",Chemicals / PetroChemical / Plastic / Rubber,Others
Software Developer, Angularjs| CSS| JSON| HTML| Backbone.Js| JQuery| YUI| Mean Stack| Javascript| XHTML,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), interpersonal skill| Microsoft Office,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",IT
Audit Manager,Statutory Audit| Audit| Big4| Risk Management| CA,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Others
Technical Architect, Computer science| Electrical engineering| System architecture| Computer architecture| Programming| Wellness| model development| Performance analysis| Management| ARM,"IT Software - Application Programming , Maintenance","Semiconductors, Electronics",IT
System Administrator, group policy| active directory| dns| Windows System Administration| windows system admin| windows system administrator| Python| Powershell| Unix Shell Scripting| shell script| AWS| Microsoft Azure,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
IT/Technical Content Developer, Technical product configuration| design| integration PHP| MySQL| HTML| C| c++| JavaScript,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",IT
HR Executive,Offer Generation|Negotiation|Selection|Hiring|Sourcing|Interviewing|Analytics|Recruitment|Talent Acquisition|Screening|Life Cycle|Compensation|Client Servicing|Salary Negotiation|Brand Awareness|Bulk Hiring|Campus Recruitment,"HR , Recruitment , Administration , IR",Recruitment / Staffing,Others
Regulatory Affairs Manager, Talent acquisition| Healthcare| Recruitment| Medical affairs| Compliance| Relationship,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Healthcare
Software Developer, Oracle| Application development| Consulting| Hyperion planning| metadata| Budgeting| Performance management| Business process management| Forecasting| Business strategy,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Data Analyst, mcom| invoice processing| monthly reports| excel| mba finance| icwa inter| maintenance activities| client interaction| mba fresher| communication skills,Analytics & Business Intelligence,"Telcom, ISP",Others
HR Business Partner,excel powerpoint|training|data management|ms office|data quality|human resource management|data analysis|data entry|subject matter expertise|HR MIS,"HR , Recruitment , Administration , IR",Banking / Financial Services / Broking,Others
Direct Marketing Manager, Corel Draw| Illustrator| Graphic designing| Photoshop| IT recruitment,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing
Hardware Installation Technician, Desktop| Desktop Support| desktop support engineer| hardware engineer,"IT Hardware , Technical Support , Telecom Engineering","Recruitment, Staffing",IT
Associate/Senior Associate -(NonTechnical), bpo| international bpo| customer service| call handling| international call center| kpo| customer handling| customer care executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer,Angularjs|Full Stack Developer|Javascript,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Manager / Sr Manager - Administration, vendor management| negotiation skills| commercial acumen| MIS| Compliance| Reports| Outlook| Access| Power Point,"HR , Recruitment , Administration , IR","Education, Teaching, Training",Others
Head/VP/GM-Accounts, FMCG| Account management| Negotiation skills| Manager Client Servicing| Accounts Head| Group| Automobile| Agency| Creative,"Accounts , Finance , Tax , Company Secretary , Audit","Media, Entertainment, Internet",Others
Software Developer,HTML| CSS| UI Development| Html5| UX| Photoshop| Front End| Usability| Software Development| UI Developer| CSS3,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Loan| Documentation| Manage| Sales Management| Client| Engagements,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",IT
Science Teacher, Counselor| Mentor| Trainer| Advisor| Teaching,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Testing Engineer, XML| Open source| Python| Web services| Test execution| Automation tools| Security testing| JSON| Test cases| Testing,IT Software - QA & Testing,"IT-Software, Software Services",IT
Network Administrator,networking| f5| network engineering| AWS| Jenkins| GIT| Python,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Architect,AutoCAD| CAD| Photoshop| Texturing| Post production| 3D| Interior designing| 3D modeling| 3DSmax| VRAY,"Architecture , Interior Design","Recruitment, Staffing",Others
Software Developer, VMware| Automation| microsoft| Application packaging| Change management| JSON| Troubleshooting| Information technology| Analytics| Recruitment,IT Software - System Programming,"IT-Software, Software Services",IT
Software Developer, react.js| senior php developer| laravel| Web Developer| core php| Yii| php,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
System Analyst, Product Support| Mainframe Testing,IT Software - Mainframe,"IT-Software, Software Services",IT
Construction-Construction Management, Site management| Control| construction material| Billing| EXIM| Marking| SUN| Monitoring| Project execution,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",Others
Associate/Senior Associate -(NonTechnical),medical coding|certified medical coder|ed professional|denial management|cpc|denial coding|non certification medical coder,"ITES , BPO , KPO , LPO , Customer Service , Operations",Medical / Healthcare / Hospitals,IT
Associate/Senior Associate -(NonTechnical), international bpo| ites| inbound| kpo| outbound| non voice| non voice process| back office| backend| bpo non voice| insurance,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Technical Architect, Javascript| CRM| Python| System architecture| CVS| Data migration| Coding| Presales| SSL| Recruitment,IT Software - Other,"Internet, Ecommerce",IT
Software Developer, Software Development| LINQ| MVVM| OOPS| C#.Net| SQL Database| Entity Framework| SQL Server| Visual Studio| WPF,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",IT
Sales/Business Development Manager, air compressor| sales marketing| sales| marketing,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Others
Project Manager-Production/Manufacturing/Maintenance, etp| Plumbing| Maintenance Technician| waste management| maintenance| stp,"Production , Manufacturing , Maintenance","Chemicals, PetroChemical, Plastic, Rubber",Others
Service Delivery Leader, WAN| CCNP Routing| ITIL| Switching| LAN Networking,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Creative Director,Photoshop| HTML| Illustrator| Javascript| jQuery| Wordpress| CSS3| PDF| Web technologies| Business Executive,"Design , Creative , User Experience","IT-Software, Software Services",IT
System Administrator, vendor management| Nginx| project management| linux server| rollout| web services| Ubuntu Linux| lamp| Apache| Linux| process implementation| web technologies| server administration| system monitoring| user management,"IT Software - Network Administration , Security","Internet, Ecommerce",IT
Software Developer, activex| software development| sql| net asp net| software| com dcom| vb net| developing| software developer| programming| asp net,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, PLSQL| pl| sql,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Accounts Manager, Accounting| Accounts Receivable| Accounts Payable| Finance| Taxation| Debtors| Night Auditing| Cash Flow| Financial Statements| Profit,"Accounts , Finance , Tax , Company Secretary , Audit","Travel , Hotels , Restaurants , Airlines , Railways",Others
Software Developer,spring| java| jsp| struts| j2ee| hibernate| core java,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, c++| C| design| MySQL| JavaScript| HTML,IT Software - Other,"Education, Teaching, Training",IT
Service/Maintenance Engineer, Manager Quality Assurance| QC| QA| quality| quality assurence| quality check,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Others
HR Business Partner, talent acquisition| hiring| HR Operations| HR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Accounts Executive/Accountant, Payroll| Ratio analysis| Excel| Hyperion Essbase| Financial reporting| Accounting| Information security| Finance| Management| Balance Sheet,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Others
Design Engineer,XML| SP3D| Instrumentation| Engineering Design| microsoft| Instrumentation engineering,"Engineering Design , R&D","IT-Software, Software Services",IT
Business Analyst, fmcg| E - commerce,"IT Software - eCommerce , Internet Technologies","FMCG, Foods, Beverage",Others
Software Developer, Java| Hibernate| CSS| HTML| Spring,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Health Club Assistant./Manager, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"Hotels , Restaurants","IT-Software, Software Services",Others
Software Developer,Web UI| Basic| CSS| Web technologies| html5| Javascript| HTML| bootstrap| Photoshop| CSS3,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
System Administrator, Active Directory| Windows Server Administration,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,IT
Associate/Senior Associate -(NonTechnical), bpo| customer service associate| operations management| international bpo| cce| call center| hr operations| voice process| ccr| inbound process| customer care executive| customer care representative,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, Java EE,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",IT
Associate/Senior Associate -(NonTechnical), Inbound| Customer Care| customer support| cse| cca| customer care associate| Retail| Banking| Travel| Travel Process| E - commerce| Non Voice Process| International Call Center| international bpo| voice process| bpo| ites,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Technical Architect, BPO| Visualization| Payroll| sitecore| Team management skills| Staffing| MVC| Solution Architect| ECM| business process outsourcing,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Sales Executive/Officer, Holiday Packages| Travel Sales| Hotel Booking| Amadeus| Flight| Holidays| International Travel| Hr Solutions| Sales Consulting| Data Collection,"Sales , Retail , Business Development","Travel , Hotels , Restaurants , Airlines , Railways",Others
Sales/Business Development Manager, agent| casa| loan| nbfc| financial advisor| agency| health insurance| financial| insurance broking| financial services| life insurance| banking| broking| bank| bfsi| lead generation| insurance sales,"Sales , Retail , Business Development",Insurance,Others
Team Lead/Technical Lead, Troubleshooting Skills| UI Development| Javascript| React.Js,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Retail| bd| Distribution| Region| Customer Satisfaction| Business Development| Sales Promotion| Marketing,"Sales , Retail , Business Development","Gems, Jewellery",Others
Telecalling/Telemarketing Executive, Communication Skills| international bpo| voice process| csr| Telesales| voice support| customer service| Night Shift| Sales Executive Activities| customer support,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Associate/Senior Associate -(NonTechnical), bpo| bba| bca| international bpo| customer service| outbound calling| bbm| mba| customer support| bcom| voice process| Bsc| international voice process| domestic calling| communication skills| mass communication| ba,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
System Administrator, Windows| Auditing| SAN| Unix| DNS| Data migration| storage virtualization| RAID| BASIC| Software development methodologies,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Team Lead/Technical Lead,Java| Spring| Hibernate| J2Ee| SCALA| Spark| Big Data,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Attendance Management| Payroll Management| Leave| Software Development,"IT Software - Application Programming , Maintenance","Office Equipment, Automation",IT
Software Developer, Liferay,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Fresher, Training Executive| Interpersonal skills| Publishing| Analytical| MS Office| Business Executive,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",IT
System Administrator, Linux System Administration| LVM| Samba| DNS Server| Apache Server| Networking| Redhat Linux| NFS| KVM| NIS| Linux System Admin,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Operations Manager, service excellence| branch banking| customer service| cross selling| casa| front office| sales| marketing| bank| portfolio| Operation Manager,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Others
Software Developer, Express| Mean Stack| drupal| wordpress| MongoDB| Node.Js| mobile application development| angularjs| Web Development,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Operations Manager, BPO| Business process| IT services| Automation| data services| Technology management| Medical coding| Consulting| Healthcare| Workflow,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Factory Head, Procurement| Heading| Production planning control| Factory operations| qaqc| Packaging| FMCG| Management,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Others
Sales/Business Development Manager, sales| relationship management| commercial vehicle| Loans| heavy vechicle,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Head/VP/GM/National Manager -Sales, market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Others
Operations Manager, dispatch| kannada| operations manager| management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Courier, Transportation, Freight , Warehousing",IT
Software Developer, crystal report| crystal report developer| Java,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Company Secretary, Company Secretary| C| Legal compliance| Bulk drugs| Pharma| Consulting| ROC| Commerce| Legal documentation| MAR,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Others
Sales/Business Development Manager, customer relationship| client servicing| client management| cross selling| accounts manager| client relationship management| customer satisfaction| relationship management| key account management| Relationship Manager| client relationship| key accounts| crm,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Sales / BD Manager, Business Banking| SME| Working Capital,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Quality Assurance/Quality Control Executive, Medical Records,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Operations Manager, Financial analysis| Business strategy| Risk management| Product management| Due diligence| Assurance| Automation| Resourcing| Monitoring| Auditing,"Financial Services , Banking , Investments , Insurance","Education, Teaching, Training",Others
Sales Executive / Officer, insurance| health insurance| team handling| agency sales| sales life insurance| sales marketing| sales| sales executive| life insurance| sales manager| sales officer| sales insurance| general insurance| agency manager| direct sales,"Sales , Retail , Business Development",Insurance,Others
Software Developer, Java| Ruby on Rails| MQ| RDBMS| MySQL| HTTP| Python| SQL,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, HTML| PHP| XML| ERP| css| Project management| cloud| database| java| web| MySQL| design| mvc| architecture| magento| development| website| consulting| it| Joomla| javascript| Drupal| jQuery| application| outsourcing| Wordpress,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Corporate Planning/Strategy Manager,assurance|service delivery|financial management|audit documentation|business development|auditing|strategy|assurance manager|process quality,"Strategy , Management Consulting , Corporate Planning",Accounting / Finance,Others
Sales/Business Development Manager, erp| marketing executive| sap| distributors| customer profiling| sales strategy| market research| Business Development| sales executive| ms office,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Others
Travel Agent, Travel Sales| Inbound Calls| BPO| Customer Handling| International Travel| Sales Consulting| Sales Process| New Zealand,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Others
Finance Executive, Back Office| back office executive,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Others
Software Developer,UI| HTML5| React.js| CSS3,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Recruitment Executive, interviewing| us it recruitment| US IT Recruiter| technical recruitment| US Technical Recruiter| Technical Recruiter| staffing,"HR , Recruitment , Administration , IR","Recruitment, Staffing",IT
Project Manager-IT/Software, project management| modeling| xml| procedures| tracking| sql server,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,Business process|jQuery|Front end|Coding|XML|Javascript|Agile|Workflow|HTML|Outsourcing,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Sales/Business Development Manager, Leadership skills| International Business development| beverage| food| strategic planning,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Others
Trainee, Sales| Retail Sales| Client Relationships| Management Trainee,"Sales , Retail , Business Development","Retail, Wholesale",Others
Sales Executive/Officer, Chemical| Sales| Marketing Executive,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Software Developer, Automation| Semiconductor| Analog| Mixed signal| Intellectual property| Perl| product validation| Cadence Virtuoso| Scripting,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",IT
Head/VP/GM-Operations, Sales Operations| Marketing| Category Management| Account Management| Product Development| Operations| Operations Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",IT
Software Developer, Web technologies| XML| MySQL| jQuery| WCF| SOA| UML| OOAD| Troubleshooting| Network security,"IT Software - Application Programming , Maintenance","Pharma, Biotech, Clinical Research",IT
Associate/Senior Associate -(Technical), technical| software| wipro| customer service| adobe| teleperformance| networking| microsoft| hcl| cvent| voice process| Technical Voice Process| b.tech| hardware,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Head/VP/GM-Technology(IT)/CTO, SaaS| Javascript| React.js| AWS| deployment,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Team Lead/Technical Lead, SQL| Data Profiling| ETL| Data Quality| Sap Data Services| Performance Tuning| Problem Solving| Quality Tools,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Testing Engineer,clear quest|RTRT|c|Vectorcast|LDRA|istqb|ibm rational|embedded testing|test case design|test reporting,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design",Aviation / Aerospace Firms,IT
Software Developer, Javascript| HTML| Ajax| Consulting| Unit testing| Front end| DOM| CSS| Web services| Matrix,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Construction-General Building, Civil| Engineering Design,"Site Engineering , Project Management","Oil and Gas, Energy, Power, Infrastructure",IT
Design Engineer, Measurement| piping| tendering| Automation| Flow Meter| mechanical| Calculation| instrumentation| Steel| Metering,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",IT
Software Developer, assembly language| website| C| HTML| IT| ajax| javascript| jquery| SQL| xhtml| Six Sigma| PMP| xml| linux| .NET| Oracle| Python,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Centre Head / Branch Head / Club Manager, operations| salon| salon manager| beauty,Beauty/Fitness/Spa Services,"Wellness , Fitness , Sports, Beauty",Others
